Date,Open,High,Low,Close,Previous Close,Change,Percent Change,Index Name,Fund Name
2025-07-07,25450.45,25489.8,25407.25,25461.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-08,25427.85,25548.05,25424.15,25522.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-09,25514.6,25548.7,25424.35,25476.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-10,25511.65,25524.05,25340.45,25355.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-11,25255.5,25322.45,25129.0,25149.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-14,25149.5,25151.1,25001.95,25082.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-15,25089.5,25245.2,25088.45,25195.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-16,25196.6,25255.3,25121.05,25212.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-17,25230.75,25238.35,25101.0,25111.45,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-18,25108.55,25144.6,24918.65,24968.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-21,24999.0,25111.4,24882.3,25090.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-22,25166.65,25182.0,25035.55,25060.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-23,25139.35,25233.5,25085.5,25219.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-24,25243.3,25246.25,25018.7,25062.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-25,25010.35,25010.35,24806.35,24837.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-28,24782.45,24889.2,24646.6,24680.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-29,24609.65,24847.15,24598.6,24821.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-30,24890.4,24902.3,24771.95,24855.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-31,24642.25,24956.5,24635.0,24768.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-01,24734.9,24784.15,24535.05,24565.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-04,24596.05,24736.25,24554.0,24722.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-05,24720.25,24733.1,24590.3,24649.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-06,24641.35,24671.4,24539.2,24574.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-07,24464.2,24634.2,24344.15,24596.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-08,24544.25,24585.5,24337.5,24363.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-11,24371.5,24600.85,24347.45,24585.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-12,24563.35,24702.6,24465.65,24487.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-13,24586.2,24664.55,24535.25,24619.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-14,24607.25,24673.65,24596.9,24631.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-18,24938.2,25022.0,24852.85,24876.95,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-19,24891.35,25012.65,24873.95,24980.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-20,24965.8,25088.7,24929.7,25050.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-21,25142.0,25153.65,25054.9,25083.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-22,25064.15,25084.85,24859.15,24870.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-25,24949.15,25021.55,24894.35,24967.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-26,24899.5,24919.65,24689.6,24712.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-28,24695.8,24702.65,24481.6,24500.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-08-29,24466.7,24572.45,24404.7,24426.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-01,24432.7,24635.6,24432.7,24625.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-02,24653.0,24756.1,24522.35,24579.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-03,24616.5,24737.05,24533.2,24715.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-04,24980.75,24980.75,24708.2,24734.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-05,24818.85,24832.35,24621.6,24741.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-08,24802.6,24885.5,24751.55,24773.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-09,24864.1,24891.8,24814.0,24868.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-10,24991.0,25035.7,24915.05,24973.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-11,24945.5,25037.3,24940.15,25005.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-12,25074.45,25139.45,25038.05,25114.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-15,25118.9,25138.45,25048.75,25069.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-16,25073.6,25261.4,25070.45,25239.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-17,25276.6,25346.5,25275.35,25330.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-18,25441.05,25448.95,25329.75,25423.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-19,25410.2,25431.4,25286.3,25327.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-22,25238.1,25331.7,25151.05,25202.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-23,25209.0,25261.9,25084.65,25169.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-24,25108.75,25149.85,25027.45,25056.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
